,0,1,2
97,2.2020578,2.1517582,2.0926147
98,2.0186815,1.9789819,2.0405948
99,2.200841,2.150424,2.1578817
100,2.2302678,2.1780698,2.1942005
101,1.8366529,1.808079,1.7778847
102,2.8290508,2.7112808,2.6931934
103,2.7085238,2.6112175,2.6177368
104,2.3997102,2.3374786,2.3258362
105,2.6701682,2.5823092,2.5954475
106,1.8863835,1.8548152,1.8338691
107,2.8195596,2.7032952,2.6874213
108,1.7727336,1.7479403,1.7297428
109,2.060617,2.0187223,1.9724196
110,2.739731,2.6374288,2.6371126
111,1.9150009,1.8816247,1.8956884
112,2.7316413,2.6339672,2.6338754
113,2.1680892,2.1197453,2.085661
114,1.4398682,1.434872,1.4409022
115,1.7218151,1.6999867,1.7077868
116,2.0278182,1.9878243,1.9614371
117,2.843977,2.7238624,2.7024593
118,2.719035,2.6194377,2.6244535
119,2.579453,2.5063963,2.5289955
120,2.6456423,2.5686631,2.5814958
121,2.1531515,2.1057394,2.057564
122,2.1571078,2.109161,2.165687
123,2.3620884,2.3019638,2.3388314
124,2.6898625,2.5998926,2.6082845
125,2.1238556,2.078099,2.0625525
126,2.4132376,2.3500752,2.381733
127,2.1684642,2.120058,2.100021
128,2.6673245,2.5834422,2.595464
129,2.6540933,2.5716052,2.5868464
130,2.2597158,2.2057333,2.2312853
131,1.9231453,1.8892795,1.9045966
132,2.1756535,2.1266346,2.1709676
133,2.6393714,2.5610285,2.5786014
134,1.8129247,1.785733,1.7674757
135,2.1303012,2.0840983,2.0901196
136,2.734659,2.6329165,2.6341345
137,2.7766917,2.6672587,2.6607008
138,2.712747,2.6180363,2.6219773
139,2.9997113,2.8547342,2.7995982
140,2.839181,2.7197971,2.6996527
141,2.1994581,2.1490889,2.168755
142,2.2724855,2.2176838,2.2632308
143,2.1432881,2.0964205,2.0637374
144,2.6754599,2.5851793,2.5980544
145,2.210657,2.1596165,2.1802707
146,2.013302,1.9740164,2.0029984
147,2.7152255,2.6166778,2.6221275
148,2.1942997,2.1443017,2.1417656
149,2.277586,2.2224822,2.2672467
150,1.9601986,1.9242901,1.8804641
151,1.798852,1.7725017,1.7536947
152,2.7567482,2.6505055,2.648336
153,2.2047927,2.154261,2.119194
154,2.019027,1.9796754,1.9120228
155,2.6994119,2.6061478,2.6134899
156,1.1348634,1.1483775,1.0468343
157,2.0118885,1.9727457,1.9813066
158,2.0064795,1.9676989,1.9624165
159,2.1323428,2.0859966,2.0996394
160,2.800548,2.6879401,2.6753552
161,2.1026797,2.0582142,2.033155
162,2.6817296,2.5924354,2.6029587
163,2.7827768,2.6725965,2.664429
164,1.7454679,1.7221624,1.7528849
165,2.6499147,2.568945,2.5847816
166,1.8322533,1.8038249,1.8146691
167,2.710686,2.6126194,2.6191988
168,2.675679,2.5863853,2.5986462
169,2.0217302,1.9822171,1.914645
170,2.8249166,2.707798,2.6908078
171,2.2053142,2.1546216,2.165102
172,2.1010456,2.0564525,2.1102982
173,2.8882704,2.761048,2.7301254
174,2.1675644,2.1191497,2.120883
175,2.307567,2.250682,2.2925372
176,2.6067278,2.5320604,2.5487156
177,1.9183812,1.884978,1.8378075
178,2.8882809,2.7611089,2.730176
179,2.3367286,2.27811,2.317679
180,1.8163385,1.7889636,1.7635268
181,1.3548822,1.3550438,1.3311
182,2.6775455,2.590386,2.6010337
183,2.0700412,2.0274594,2.0248532
184,2.3160174,2.2586284,2.3004234
185,2.3005931,2.2441459,2.2784595
186,2.852006,2.7305627,2.7075791
187,2.026208,1.9863327,1.9519842
188,2.193906,2.143886,2.1572156
189,2.6836782,2.5898714,2.6025138
190,2.7709548,2.6624322,2.657104
191,2.9398022,2.8043613,2.762239
192,2.6535425,2.5710287,2.586485
193,2.4596784,2.3937578,2.4207134
194,2.1420627,2.0951343,2.1093397
195,2.6601446,2.5733204,2.5888987
196,2.7535803,2.6478386,2.6463912
197,2.7614965,2.6544838,2.6513624
198,2.1791012,2.1299667,2.1427083
199,1.7953331,1.7692041,1.7464406
200,1.8791267,1.8480229,1.8160121
201,2.2992156,2.2428265,2.2856512
202,2.1207592,2.0752308,2.044486
203,2.6133249,2.538251,2.5593688
204,1.8433663,1.814366,1.7931713
205,2.435869,2.3713593,2.4018655
206,1.6960905,1.6758664,1.6594918
207,2.2047062,2.1540656,2.1589937
208,2.6528153,2.5713143,2.5865016
209,2.3044622,2.2477627,2.2896504
210,2.025413,1.9855806,1.9529544
211,1.9416771,1.906836,1.8762848
212,1.9957383,1.9577088,1.9138379
213,2.2787983,2.2236233,2.268064
214,2.655756,2.5721588,2.5874693
215,2.043847,2.0029056,1.9733558
216,1.9676322,1.9313005,1.8802862
217,2.0166478,1.9771497,2.0106156
218,2.1376433,2.0908544,2.1486988
219,1.4757545,1.4685805,1.4872675
220,2.6587164,2.571972,2.587943
221,1.8826478,1.8512931,1.8335793
222,1.9509124,1.9154694,1.9027241
223,1.7500794,1.7266432,1.7066708
224,2.5811148,2.5079598,2.5302439
225,2.6082852,2.5335197,2.5518742
226,2.796203,2.6837296,2.6727605
227,2.6372368,2.55934,2.5773373
228,2.7256372,2.625494,2.628539
229,2.7942057,2.684839,2.6719007
230,2.8903694,2.7628117,2.731464
231,2.6524029,2.5691648,2.585209
232,2.0232239,1.9835379,1.9452522
233,2.2299757,2.1778364,2.179507
234,2.9666674,2.8270097,2.778851
235,2.3488712,2.2895312,2.3279154
236,2.1465878,2.0992675,2.1563373
237,2.6902544,2.6064782,2.6116061
238,2.8187194,2.702602,2.6868458
239,1.9057236,1.8730128,1.8478916
240,1.4757545,1.4685805,1.4872675
241,2.71485,2.6162813,2.6219387
242,2.0646698,2.0225072,1.9853258
243,2.689733,2.6032395,2.6098776
244,2.757769,2.6515205,2.6488957
245,2.5595245,2.487671,2.505475
246,2.7040706,2.6072545,2.6152225
247,2.6664608,2.581425,2.594328
248,1.9145529,1.881053,1.9479406
249,2.2388716,2.1862905,2.1567454
250,2.2175858,2.1660473,2.216308
251,2.6895335,2.6006005,2.608657
252,2.178948,2.1297855,2.155476
253,2.9190521,2.7869496,2.7493787
254,3.088563,2.92944,2.8549728
255,2.7372353,2.6340885,2.6360986
256,2.8379717,2.7187853,2.6987324
257,2.7150915,2.6197162,2.6233249
258,2.7388031,2.6367216,2.6366072
259,2.764365,2.6604648,2.6537347
260,2.7342594,2.6320977,2.63418
261,2.8889308,2.7615986,2.730586
262,2.1919293,2.1419427,2.1850567
263,2.7635555,2.6562319,2.65266
264,2.2152605,2.1638746,2.209322
265,2.5517957,2.48038,2.5063057
266,2.1232677,2.077333,2.1365385
267,1.9950328,1.9571232,1.8859664
268,2.035573,1.995049,1.9921591
269,2.7070913,2.6097584,2.6170712
270,1.2516001,1.2580297,1.1976588
271,1.3521843,1.3525095,1.3276141
272,2.166759,2.1183898,2.1209764
273,2.0164585,1.9771061,1.9634806
274,1.7868941,1.7611789,1.7699063
275,2.0224123,1.9825397,2.0266957
276,2.1084015,2.0635273,2.061953
277,2.6297846,2.5537353,2.5724216
278,2.7440631,2.6398387,2.6404896
279,2.7258022,2.6260095,2.6288052
280,2.672317,2.5869138,2.598309
281,2.64626,2.566121,2.5825562
282,1.8172885,1.7898438,1.7689618
283,2.8649886,2.7415173,2.7156982
284,2.1057143,2.0608215,2.1219735
285,1.9861634,1.9487277,1.8970375
286,2.079484,2.0362935,2.0494375
287,2.6822412,2.5948877,2.6042728
288,2.0773919,2.0344179,2.015515
289,2.7980564,2.6852293,2.6740236
290,2.8665442,2.7428493,2.716669
291,2.8804386,2.7544806,2.7253132
292,2.2977283,2.2414236,2.2857623
293,1.944457,1.9095392,1.8477628
294,2.6602013,2.5736384,2.5890753
295,2.7315936,2.631177,2.6324687
296,2.0942898,2.050295,2.035627
297,1.6708918,1.6521158,1.655281
298,1.7718999,1.7471615,1.7271628
299,2.1679285,2.1193871,2.1579237
300,1.8600558,1.830029,1.819494
301,2.3649414,2.3046489,2.3407488
302,2.2156754,2.1643584,2.176999
303,2.739843,2.6365538,2.6376803
304,2.464478,2.398265,2.4272861
305,2.6149726,2.5398002,2.5610275
306,2.1396737,2.0928535,2.1191764
307,2.6535707,2.5717087,2.5867052
308,2.6633282,2.5769634,2.5913215
309,1.9111617,1.8781642,1.8397927
310,1.8810582,1.8498719,1.8064356
311,2.7958956,2.6834044,2.6726737
312,1.9864018,1.948925,1.9066474
313,1.9907167,1.9528862,1.9443078
314,2.08875,2.0450587,2.0399232
315,2.3768477,2.315845,2.3517985
316,2.4634707,2.3973203,2.425505
317,2.6685615,2.5810814,2.594612
318,2.1885302,2.138719,2.191363
319,2.4952981,2.4272566,2.4524736
320,1.8837473,1.8523616,1.8225731
321,2.994142,2.85012,2.796083
322,2.8404303,2.7208562,2.7003517
323,2.0959148,2.0517259,2.0712786
324,2.325696,2.2677393,2.3061159
325,2.727723,2.626103,2.6302657
326,2.7315383,2.6331856,2.6335583
327,2.8528912,2.73135,2.7081804
